id,name,dob,pob
0000957,Jan de Bont,1943-10-22,"Eindhoven, Noord-Brabant, Netherlands"
0000959,Powers Boothe,1949-06-01,"Snyder, Texas, USA"
0000960,Barry Bostwick,1946-02-24,"San Mateo, California, USA"
0000961,Timothy Bottoms,1951-08-30,"Santa Barbara, California, USA"
0000963,Stephen Boyd,1931-07-04,"Glengormley, Northern Ireland, UK"
0000964,Charles Boyer,1897-08-28,"Figeac, Lot, Midi-Pyrenees, France"
0000966,Lorraine Bracco,1949-10-02,"Bay Ridge, Brooklyn, New York, USA"
0000968,Sonia Braga,1950-06-08,"Maringa, Parana, Brazil"
0000971,Nicoletta Braschi,1960-08-10,"Cesena, Italy"
0000974,Walter Brennan,1894-07-25,"Swampscott, Massachusetts, USA"
0000976,Martin Brest,1951-08-08,"The Bronx, New York, New York, USA"
0000977,Beau Bridges,1941-12-09,"Hollywood, California, USA"
0000978,Lloyd Bridges,1913-01-15,"San Leandro, California, USA"
0000979,Wilford Brimley,1924-09-27,"Salt Lake City, Utah, USA"
0000980,Jim Broadbent,1949-05-24,"Lincoln, Lincolnshire, England, UK"
0000983,Albert Brooks,1947-07-22,"Beverly Hills, Los Angeles, California, USA"
0000985,James L. Brooks,1940-05-09,"North Bergen, New Jersey, USA"
0000989,Yul Brynner,1915-07-07,"Vladivostock, Czarist Russia (now Vladivostock, Russia)"
0000990,Betty Buckley,1947-07-03,"Fort Worth, Texas, USA"
0000995,Ellen Burstyn,1932-12-07,"Detroit, Michigan, USA"
0000999,Red Buttons,1919-02-05,"New York, New York, USA"
0001001,James Caan,1939-03-26,"The Bronx, New York, USA"
0001003,Simon Callow,1949-06-13,"London, England, UK"
0001005,Jane Campion,1954-04-30,"Wellington, New Zealand"
0001008,Frank Capra,1897-05-18,"Bisacquino, Sicily, Italy"
0001009,Kate Capshaw,1953-11-03,"Fort Worth, Texas, USA"
0001017,John Carradine,1906-02-05,"New York, New York, USA"
0001019,Robert Carradine,1954-03-24,"Hollywood, California, USA"
0001023,John Cassavetes,1929-12-09,"New York, New York, USA"
0001026,Joanna Cassidy,1945-08-02,"Haddonfield, New Jersey, USA"
0001029,James Caviezel,1968-09-26,"Mount Vernon, Washington, USA"
0001030,John Cazale,1935-08-12,"Boston, Massachusetts, USA"
0001040,Joan Chen,1961-04-26,"Shanghai, China"
0001046,Julie Christie,1941-04-14,"Chabua, Assam, India"
0001047,Michael Cimino,1939-02-03,"New York, New York, USA"
0001050,Montgomery Clift,1920-10-17,"Omaha, Nebraska, USA"
0001054,Joel Coen,1954-11-29,"Minneapolis, Minnesota, USA"
0001055,Claudette Colbert,1903-09-13,"Paris, France"
0001056,Dabney Coleman,1932-01-03,"Austin, Texas, USA"
0001057,Toni Collette,1972-11-01,"Sydney, New South Wales, Australia"
0001059,Robbie Coltrane,1950-03-30,"Rutherglen, Scotland, UK"
0001060,Chris Columbus,1958-09-10,"Spangler, Pennsylvania, USA"
0001063,Jeff Conaway,1950-10-05,"New York, New York, USA"
0001069,Bud Cort,1948-03-29,"New Rochelle, New York, USA"
0001072,Joseph Cotten,1905-05-15,"Petersburg, Virginia, USA"
0001074,Ronny Cox,1938-07-23,"Cloudcroft, New Mexico, USA"
0001075,Peter Coyote,1942-10-10,"Colver, Pennsylvania, USA"
0001076,Joan Crawford,1904-03-23,"San Antonio, Texas, USA"
0001077,Richard Crenna,1926-11-30,"Los Angeles, California, USA"
0001078,Bing Crosby,1903-05-02,"Tacoma, Washington, USA"
0001080,Lindsay Crouse,1948-05-12,"New York, New York, USA"
0001081,Cameron Crowe,1957-07-13,"Palm Springs, California, USA"
0001088,Peter Cushing,1913-05-26,"Kenley, Surrey, England, UK"
0001089,Henry Czerny,1959-01-01,"Toronto, Ontario, Canada"
0001099,Jeff Daniels,1955-02-19,"Athens, Georgia, USA"
0001100,Blythe Danner,1943-02-03,"Philadelphia, Pennsylvania, USA"
0001101,Ted Danson,1947-12-29,"San Diego, California, USA"
0001102,Joe Dante,1946-11-28,"Morristown, New Jersey, USA"
0001104,Frank Darabont,1959-01-28,"Montebeliard, France"
0001105,Linda Darnell,1923-10-16,"Dallas, Texas, USA"
0001111,Jeremy Davies,1969-10-08,"Traverse City, Michigan, USA"
0001112,Andrew Davis,1947-01-01,"Chicago, Illinois, USA"
0001114,Judy Davis,1955-04-23,"Perth, Western Australia, Australia"
0001115,Ossie Davis,1917-12-18,"Cogdell, Georgia, USA"
0001120,Vittorio De Sica,1902-07-07,"Sora, Latium, Italy"
0001121,Brandon De Wilde,1942-04-09,"Brooklyn, New York, USA"
0001122,Ellen DeGeneres,1958-01-26,"Metairie, Louisiana, USA"
0001124,Cecil B. DeMille,1881-08-12,"Ashfield, Massachusetts, USA"
0001125,Benicio Del Toro,1967-02-19,"Santurce, Puerto Rico"
0001129,Jonathan Demme,1944-02-22,"Baldwin, Long Island, New York, USA"
0001131,Patrick Dempsey,1966-01-13,"Lewiston, Maine, USA"
0001132,Judi Dench,1934-12-09,"York, North Yorkshire, England, UK"
0001133,Brian Dennehy,1938-07-09,"Bridgeport, Connecticut, USA"
0001135,John Derek,1926-08-12,"Hollywood, California, USA"
0001136,Bruce Dern,1936-06-04,"Chicago, Illinois, USA"
0001149,Richard Donner,1930-04-24,"New York, New York, USA"
0001156,Olympia Dukakis,1931-06-20,"Lowell, Massachusetts, USA"
0001157,Patty Duke,1946-12-14,"Elmhurst, New York, USA"
0001159,Faye Dunaway,1941-01-14,"Bascom, Florida, USA"
0001164,Charles Durning,1923-02-28,"Highland Falls, New York, USA"
0001182,Carmen Electra,1972-04-20,"Sharonville, Ohio, USA"
0001185,Hector Elizondo,1936-12-22,"New York, New York, USA"
0001186,Denholm Elliott,1922-05-31,"Ealing, London, England, UK"
0001191,Adam Sandler,1966-09-09,"Brooklyn, New York, USA"
0001195,Douglas Fairbanks Jr.,1909-12-09,"New York, New York, USA"
0001201,Mia Farrow,1945-02-09,"Los Angeles, California, USA"
0001207,Jose Ferrer,1909-01-08,"Santurce, Puerto Rico"
0001209,William Fichtner,1956-11-27,"Mitchell Field Air Force Base, East Meadow, Long Island, New York, USA"
0001212,Joseph Fiennes,1970-05-27,"Salisbury, Wiltshire, England, UK"
0001213,Harvey Fierstein,1954-06-06,"Brooklyn, New York, USA"
0001214,Mike Figgis,1948-02-28,"Carlisle, Cumbria, England, UK"
0001215,Albert Finney,1936-05-09,"Salford, Manchester, England, UK"
0001221,Louise Fletcher,1934-07-22,"Birmingham, Alabama, USA"
0001223,Lara Flynn Boyle,1970-03-24,"Davenport, Iowa, USA"
0001225,Nina Foch,1924-04-20,"Leiden, Zuid-Holland, Netherlands"
0001232,Milos Forman,1932-02-18,"Caslav, Czechoslovakia"
0001242,Matt Frewer,1958-01-04,"Washington, District of Columbia, USA"
0001243,William Friedkin,1935-08-29,"Chicago, Illinois, USA"
0001247,Eva Gabor,1919-02-11,"Budapest, Hungary"
0001256,Greta Garbo,1905-09-18,"Stockholm, Sweden"
0001257,Ava Gardner,1922-12-24,"Grabtown, North Carolina, USA"
0001258,James Garner,1928-04-07,"Norman, Oklahoma, USA"
0001264,Sarah Michelle Gellar,1977-04-14,"New York, New York, USA"
0001274,Paul Michael Glaser,1943-03-25,"Cambridge, Massachusetts, USA"
0001277,Scott Glenn,1941-01-26,"Pittsburgh, Pennsylvania, USA"
0001282,Tony Goldwyn,1960-05-20,"Los Angeles, California, USA"
0001283,Louis Gossett Jr.,1936-05-27,"Brooklyn, New York, USA"
0001284,Michael Gough,1917-11-23,Malaya. [now Malaysia]
0001287,Heather Graham,1970-01-29,"Milwaukee, Wisconsin, USA"
0001288,Kelsey Grammer,1955-02-21,"St. Thomas, Virgin Islands"
0001293,Seth Green,1974-02-08,"Overbrook Park, Philadelphia, Pennsylvania, USA"
0001295,Graham Greene,1952-06-22,"Six Nations Reserve, Ontario, Canada"
0001297,Joel Grey,1932-04-11,"Cleveland, Ohio, USA"
0001304,Fred Gwynne,1926-07-10,"New York, New York, USA"
0001311,Philip Baker Hall,1931-09-10,"Toledo, Ohio, USA"
0001314,John Hannah,1962-04-23,"East Kilbride, Scotland, UK"
0001315,Marcia Gay Harden,1959-08-14,"La Jolla, California, USA"
0001321,Richard Harris,1930-10-01,"Limerick, Ireland"
0001322,Rex Harrison,1908-03-05,"Huyton, Lancashire, England, UK"
0001326,Josh Hartnett,1978-07-21,"San Francisco, California, USA"
0001328,Howard Hawks,1896-05-30,"Goshen, Indiana, USA"
0001329,Nigel Hawthorne,1929-04-05,"Coventry, Warwickshire, England, UK"
0001333,Susan Hayward,1918-06-30,"Brooklyn, New York, USA"
0001334,John Heard,1945-03-07,"Washington, District of Columbia, USA"
0001336,Van Heflin,1910-12-13,"Walters, Oklahoma, USA"
0001346,Edward Herrmann,1943-07-21,"Washington, District of Columbia, USA"
0001347,Barbara Hershey,1948-02-05,"Hollywood, California, USA"
0001351,George Roy Hill,1921-12-20,"Minneapolis, Minnesotaa, USA"
0001357,Paul Hogan,1939-10-08,"Lightning Ridge, New South Wales, Australia"
0001358,Hal Holbrook,1925-02-17,"Cleveland, Ohio, USA"
0001359,Sterling Holloway,1905-01-04,"Cedartown, Georgia, USA"
0001364,Bob Hoskins,1942-10-26,"Bury St. Edmunds, Suffolk, England, UK"
0001366,Leslie Howard,1893-04-03,"London, England, UK"
0001369,Rock Hudson,1925-11-17,"Winnetka, Illinois, USA"
0001371,Tom Hulce,1953-12-06,"Whitewater, Wisconsin, USA"
0001372,Bonnie Hunt,1964-09-22,"Chicago, Illinois, USA"
0001373,Linda Hunt,1945-04-02,"Morristown, New Jersey, USA"
0001375,Kim Hunter,1922-11-12,"Detroit, Michigan, USA"
0001378,Anjelica Huston,1951-07-08,"Santa Monica, California, USA"
0001379,John Huston,1906-08-05,"Missouri, USA"
0001392,Peter Jackson,1961-10-31,"Pukerua Bay, North Island, New Zealand"
0001395,Richard Jaeckel,1926-10-10,"Long Beach, Long Island, New York, USA"
0001401,Angelina Jolie,1975-06-04,"Los Angeles, California, USA"
0001404,Madeline Kahn,1942-09-29,"Boston, Massachusetts, USA"
0001406,Carol Kane,1952-06-18,"Cleveland, Ohio, USA"
0001410,Lawrence Kasdan,1949-01-14,"Miami, Florida, USA"
0001415,Elia Kazan,1909-09-07,"Constantinople, Ottoman Empire"
0001418,David Keith,1954-05-08,"Knoxville, Tennessee, USA"
0001421,George Kennedy,1925-02-18,"New York, New York, USA"
0001426,Ben Kingsley,1943-12-31,"Scarborough, Yorkshire, England, UK"
0001427,Greg Kinnear,1963-06-17,"Logansport, Indiana, USA"
0001445,Martin Landau,1931-06-20,"Brooklyn, New York, USA"
0001447,Nathan Lane,1956-02-03,"Jersey City, New Jersey, USA"
0001448,Jessica Lange,1949-04-20,"Cloquet, Minnesota, USA"
0001450,Angela Lansbury,1925-10-16,"London, England, UK"
0001451,Queen Latifah,1970-03-18,"Newark, New Jersey, USA"
0001452,Charles Laughton,1899-07-01,"Victoria Hotel, Scarborough, Yorkshire, England, UK"
0001453,Piper Laurie,1932-01-22,"Detroit, Michigan, USA"
0001454,Martin Lawrence,1965-04-16,"Frankfurt-am-Main, Hessen, Germany"
0001458,Cloris Leachman,1926-04-30,"Des Moines, Iowa, USA"
0001459,Denis Leary,1957-08-18,"Worcester, Massachusetts, USA"
0001460,Mimi Leder,1957-01-01,
0001469,Barry Levinson,1942-04-06,"Baltimore, Maryland, USA"
0001475,John Lithgow,1945-10-19,"Rochester, New York, USA"
0001485,Myrna Loy,1905-08-02,"Radersburg, Montana, USA"
0001486,Sidney Lumet,1924-06-25,"Philadelphia, Pennsylvania, USA"
0001490,Adrian Lyne,1941-03-04,"Peterborough, Cambridgeshire, England, UK"
0001492,Kyle MacLachlan,1959-02-22,"Yakima, Washington, USA"
0001493,Peter MacNicol,1954-04-10,"Dallas, Texas, USA"
0001494,Ralph Macchio,1961-11-04,"Huntington, Long Island, New York, USA"
0001496,Amy Madigan,1950-09-11,"Chicago, Illinois, USA"
0001497,Tobey Maguire,1975-06-27,"Santa Monica, California, USA"
0001500,Karl Malden,1912-03-22,"Gary, Indiana, USA"
0001509,Dean Martin,1917-06-07,"Steubenville, Ohio, USA"
0001511,Lee Marvin,1924-02-19,"New York, New York, USA"
0001512,Mary Elizabeth Mastrantonio,1958-11-17,"Lombard, Illinois, USA"
0001513,Tim Matheson,1947-12-31,"Glendale, California, USA"
0001519,Ian McDiarmid,1944-08-11,"Carnoustie, Tayside, Scotland, UK"
0001521,Mary McDonnell,1952-04-28,"Wilkes-Barre, Pennsylvania, USA"
0001522,Roddy McDowall,1928-09-17,"Herne Hill, London, England, UK"
0001525,John C. McGinley,1959-08-03,"New York, New York, USA"
0001537,Ray Milland,1907-01-03,"Neath, Vale of Glamorgan, Wales, UK"
0001545,Dudley Moore,1935-04-19,"Dagenham, Essex, England, UK"
0001546,Mary Tyler Moore,1936-12-29,"Brooklyn, New York, USA"
0001547,Agnes Moorehead,1900-12-06,"Clinton, Massachusetts, USA"
0001548,Rick Moranis,1954-04-18,"Toronto, Ontario, Canada"
0001549,Rita Moreno,1931-12-11,"Humacao, Puerto Rico"
0001550,Cathy Moriarty,1960-11-29,"The Bronx, New York, USA"
0001556,David Morse,1953-10-11,"Hamilton, Massachusetts, USA"
0001557,Viggo Mortensen,1958-10-20,"Manhattan, New York, USA"
0001562,Kathy Najimy,1957-02-06,"San Diego, California, USA"
0001565,Mike Newell,1942-03-28,"St. Albans, Hertfordshire, England, UK"
0001566,Mike Nichols,1931-11-06,"Berlin, Germany"
0001567,Connie Nielsen,1965-07-03,"Elling, Frederikshavn, Denmark"
0001573,Catherine O'Hara,1954-03-04,"Toronto, Ontario, Canada"
0001575,Tatum O'Neal,1963-11-05,"Los Angeles, California, USA"
0001583,Jerry Orbach,1935-10-20,"New York, New York, USA"
0001584,Miranda Otto,1967-12-16,"Brisbane, Queensland, Australia"
0001587,Alan J. Pakula,1928-04-07,"The Bronx, New York, New York, USA"
0001588,Jack Palance,1919-02-18,"Lattimer Mines, Pennsylvania, USA"
0001589,Michael Palin,1943-05-05,"Ranmoor, Sheffield, Yorkshire, England, UK"
0001592,Joe Pantoliano,1951-09-12,"Hoboken, New Jersey, USA"
0001593,Anna Paquin,1982-07-24,"Winnipeg, Manitoba, Canada"
0001598,Robert Patrick,1958-11-05,"Marietta, Georgia, USA"
0001599,Will Patton,1954-06-14,"Charleston, South Carolina, USA"
0001602,Guy Pearce,1967-10-05,"Ely, Cambridgeshire, England, UK"
0001610,Elizabeth Perkins,1960-11-18,"Queens, New York, USA"
0001618,Joaquin Phoenix,1974-10-28,"San Juan, Puerto Rico"
0001623,Maria Pitillo,1965-01-08,"Elmira, New York, USA"
0001624,Oliver Platt,1960-01-12,"Windsor, Ontario, Canada"
0001626,Christopher Plummer,1927-12-13,"Toronto, Ontario, Canada"
0001627,Sidney Poitier,1927-02-20,"Miami, Florida, USA"
0001628,Sydney Pollack,1934-07-01,"Lafayette, Indiana, USA"
0001629,Kevin Pollak,1957-10-30,"San Francisco, California, USA"
0001632,Teri Polo,1969-06-01,"Dover, Delaware, USA"
0001635,William Powell,1892-07-29,"Pittsburgh, Pennsylvania, USA"
0001637,Vincent Price,1911-05-27,"St. Louis, Missouri, USA"
0001638,Jurgen Prochnow,1941-06-10,"Berlin, Germany"
0001639,Alex Proyas,1963-09-23,Egypt
0001642,Randy Quaid,1950-10-01,"Houston, Texas, USA"
0001647,Claude Rains,1889-11-10,"London, England, UK"
0001656,Donna Reed,1921-01-27,"Denison, Iowa, USA"
0001657,Oliver Reed,1938-02-13,"Wimbledon, London, England, UK"
0001659,Christopher Reeve,1952-09-25,"New York, New York, USA"
0001661,Rob Reiner,1947-03-06,"The Bronx, New York, USA"
0001662,Judge Reinhold,1957-05-21,"Wilmington, Delaware, USA"
0001664,James Remar,1953-12-31,"Boston, Massachusetts, USA"
0001669,Miranda Richardson,1958-03-03,"Southport, Lancashire, England, UK"
0001673,Jason Robards,1922-07-26,"Chicago, Illinois, USA"
0001674,Chris Rock,1966-02-07,"Georgetown, South Carolina, USA"
0001677,Ginger Rogers,1911-07-16,"Independence, Missouri, USA"
0001682,Mickey Rooney,1920-09-23,"Brooklyn, New York, USA"
0001684,Katharine Ross,1940-01-29,"Hollywood, California, USA"
0001689,Mercedes Ruehl,1948-02-28,"Queens, New York, USA"
0001691,Geoffrey Rush,1951-07-06,"Toowoomba, Queensland, Australia"
0001692,Ken Russell,1927-07-03,"Southampton, Hampshire, England, UK"
0001693,Eva Marie Saint,1924-07-04,"Newark, New Jersey, USA"
0001695,George Sanders,1906-07-03,"St. Petersburg, Russia"
0001696,Julian Sands,1958-01-04,"Otley, Yorkshire, England, UK"
0001698,John Savage,1949-08-25,"Old Bethpage, Long Island, New York, USA"
0001702,Roy Scheider,1932-11-10,"Orange, New Jersey, USA"
0001703,Maximilian Schell,1930-12-08,"Vienna, Austria"
0001707,Paul Schrader,1946-07-22,"Grand Rapids, Michigan, USA"
0001708,Joel Schumacher,1939-08-29,"New York, New York, USA"
0001710,David Schwimmer,1966-11-02,"Astoria, New York, USA"
0001711,Annabella Sciorra,1964-03-24,"Wethersfield, Connecticut, USA"
0001715,George C. Scott,1927-10-18,"Wise, Virginia, USA"
0001716,Tony Scott,1944-07-21,"Stockton-on-Tees, England, UK"
0001719,George Segal,1934-02-13,"Great Neck, Long Island, New York, USA"
0001721,Chloe Sevigny,1974-11-18,"Springfield, Massachusetts, USA"
0001723,Tom Shadyac,1960-01-01,
0001725,Omar Sharif,1932-04-10,"Alexandria, Egypt"
0001726,Helen Shaver,1951-02-24,"St. Thomas, Ontario, Canada"
0001727,Robert Shaw,1927-08-09,"Westhoughton, Lancashire, England, UK"
0001728,Wallace Shawn,1943-11-12,"New York, New York, USA"
0001732,Cybill Shepherd,1950-02-18,"Memphis, Tennessee, USA"
0001735,Talia Shire,1946-04-25,"Lake Success, Long Island, New York, USA"
0001739,Jean Simmons,1929-01-31,"Crouch Hill, London, England, UK"
0001741,Bryan Singer,1965-09-17,"New York, New York, USA"
0001744,Tom Sizemore,1961-09-29,"Detroit, Michigan, USA"
0001745,Stellan Skarsgard,1951-06-13,"Goteborg, Bohuslan, Sweden"
0001747,Charles Martin Smith,1953-10-30,"Van Nuys, California, USA"
0001749,Maggie Smith,1934-12-28,"Ilford, Essex, England, UK"
0001752,Steven Soderbergh,1963-01-14,"Atlanta, Georgia, USA"
0001756,Barry Sonnenfeld,1953-04-01,"New York, New York, USA"
0001758,Timothy Spall,1957-02-27,"Battersea, London, England, UK"
0001763,Nick Stahl,1979-12-05,"Harlingen, Texas, USA"
0001768,Rod Steiger,1925-04-14,"Westhampton, New York, USA"
0001772,Patrick Stewart,1940-07-13,"Mirfield, Yorkshire, England, UK"
0001773,David Ogden Stiers,1942-10-31,"Peoria, Illinois, USA"
0001774,Ben Stiller,1965-11-30,"New York, New York, USA"
0001780,Peter Stormare,1953-08-27,"Arbra, Halsingland, Sweden"
0001787,Jeffrey Tambor,1944-07-08,"San Francisco, California, USA"
0001788,Jessica Tandy,1909-06-07,"London, England, UK"
0001791,Robert Taylor,1911-08-05,"Filley, Nebraska, USA"
0001792,Rod Taylor,1930-01-11,"Sydney, New South Wales, Australia"
0001794,Henry Thomas,1971-09-09,"San Antonio, Texas, USA"
0001795,Jonathan Taylor Thomas,1981-09-08,"Bethlehem, Pennsylvania, USA"
0001800,Rip Torn,1931-02-06,"Temple, Texas, USA"
0001802,Nancy Travis,1961-09-21,"New York, New York, USA"
0001805,Lana Turner,1921-02-08,"Wallace, Idaho, USA"
0001806,John Turturro,1957-02-28,"Brooklyn, New York, USA"
0001811,Peter Ustinov,1921-04-16,"London, England, UK"
0001813,Dick Van Dyke,1925-12-13,"West Plains, Missouri, USA"
0001814,Gus Van Sant,1952-07-24,"Louisville, Kentucky, USA"
0001815,Jim Varney,1949-06-15,"Lexington, Kentucky, USA"
0001820,Abe Vigoda,1921-02-24,"New York, New York, USA"
0001822,Robert Wagner,1930-02-10,"Detroit, Michigan, USA"
0001826,M. Emmet Walsh,1935-03-22,"Ogdensburg, New York, USA"
0001827,Ray Walston,1914-12-02,"New Orleans, Louisiana, USA"
0001832,Sam Waterston,1940-11-15,"Cambridge, Massachusetts, USA"
0001835,Carl Weathers,1948-01-14,"New Orleans, Louisiana, USA"
0001836,Steven Weber,1961-03-04,"Queens, New York, USA"
0001837,Peter Weir,1944-08-21,"Sydney, New South Wales, Australia"
0001838,Rachel Weisz,1971-03-07,"London, England, UK"
0001845,Forest Whitaker,1961-07-15,"Longview, Texas, USA"
0001847,Richard Widmark,1914-12-26,"Sunrise, Minnesota, USA"
0001848,Dianne Wiest,1948-03-28,"Kansas City, Missouri, USA"
0001850,Billy Dee Williams,1937-04-06,"New York, New York, USA"
0001854,Rita Wilson,1958-10-26,"Los Angeles, California, USA"
0001855,Thomas F. Wilson,1959-04-15,"Philadelphia, Pennsylvania, USA"
0001857,Henry Winkler,1945-10-30,"New York, New York, USA"
0001859,Shelley Winters,1922-08-18,"East Saint Louis, Illinois, USA"
0001868,Michael York,1942-03-27,"Fulmer, Buckinghamshire, England, UK"
0001876,Catherine Zeta-Jones,1969-09-25,"Swansea, West Glamorgan, Wales, UK"
0001880,Edward Zwick,1952-10-08,"Chicago, Illinois, USA"
0001884,Max von Sydow,1929-04-10,"Lund, Skane, Sweden"
0001902,Edward Albert,1951-02-20,"Los Angeles, California, USA"
0001915,Emile Ardolino,1943-05-09,"Maspeth, New York, USA"
0001919,Peggy Ashcroft,1907-12-22,"Croydon, Surrey, England, UK"
0001924,Hoyt Axton,1938-03-25,"Duncan, Oklahoma, USA"
0001948,Charles Bickford,1891-01-01,"Cambridge, Massachusetts, USA"
0001954,Claire Bloom,1931-02-15,"London, England, UK"
0001955,Ann Blyth,1928-08-16,"Mount Kisco, New York, USA"
0001958,Dirk Bogarde,1921-03-28,"Hampstead, London, England, UK"
0001966,Clara Bow,1905-07-29,"Brooklyn, New York, USA"
0001967,Peter Boyle,1935-10-18,"Philadelphia, Pennsylvania, USA"
0001970,Klaus Maria Brandauer,1943-06-22,"Alt Aussee, Austria"
0001982,Sebastian Cabot,1918-07-06,"London, England, UK"
0001989,Leslie Caron,1931-07-01,"Boulogne-Billancourt, Paris, France"
0001993,Vincent Cassel,1966-11-23,"Paris, France"
0001995,George Chakiris,1934-09-16,"Norwood, Ohio, USA"
0002001,Maurice Chevalier,1888-09-12,"Paris, France"
0002011,Lee J. Cobb,1911-12-08,"New York, New York, USA"
0002013,Charles Coburn,1877-06-17,"Savannah, Georgia, USA"
0002022,Jeanne Crain,1925-05-25,"Barstow, California, USA"
0002024,Broderick Crawford,1911-12-09,"Philadelphia, Pennsylvania, USA"
0002025,Hume Cronyn,1911-07-18,"London, Ontario, Canada"
0002027,Ben Cross,1947-12-16,"London, England, UK"
0002030,George Cukor,1899-07-07,"New York, New York, USA"
0002031,Michael Curtiz,1886-12-24,"Budapest, Austria-Hungary (now Hungary)"
0002034,Jane Darwell,1879-10-15,"Palmyra, Missouri, USA"
0002048,Melvyn Douglas,1901-04-05,"Macon, Georgia, USA"
0002050,Irene Dunne,1898-12-20,"Louisville, Kentucky, USA"
0002060,Lisa Eilbacher,1957-05-05,"Dharan, Saudi Arabia"
0002068,Frances Farmer,1913-09-19,"Seattle, Washington, USA"
0002070,Richard Farnsworth,1920-09-01,"Los Angeles, California, USA"
0002071,Will Ferrell,1967-07-16,"Irvine, California, USA"
0002075,Peter Finch,1916-09-28,"London, England, UK"
0002080,Bob Fosse,1927-06-23,"Chicago, Illinois, USA"
0002081,Edward Fox,1937-04-13,"Chelsea, London, England, UK"
0002084,Brenda Fricker,1945-02-17,"Dublin, Ireland"
0002090,Zach Galligan,1964-02-14,"New York, New York, USA"
0002092,John Garfield,1913-03-04,"New York, New York, USA"
0002093,Greer Garson,1904-09-29,"London, England, UK"
0002103,Julian Glover,1935-03-27,"London, England, UK"
0002106,Ruth Gordon,1896-10-30,"Quincy, Massachusetts, USA"
0002108,Gloria Grahame,1923-11-28,"Los Angeles, California, USA"
0002110,Rodney A. Grant,1959-03-09,"Pine Ridge Reservation, South Dakota, USA"
0002119,Arsenio Hall,1955-02-12,"Cleveland, Ohio, USA"
0002120,Lasse Hallstrom,1946-06-02,"Stockholm, Sweden"
0002128,Tess Harper,1950-08-15,"Mammoth Spring, Arkansas, USA"
0002131,Laurence Harvey,1928-10-01,"Jonischkis, Lithuania"
0002132,Amy Heckerling,1954-05-07,"The Bronx, New York, New York, USA"
0002134,Paul Henreid,1908-01-10,"Trieste, Austria-Hungary. [now in Italy]"
0002139,Judd Hirsch,1935-03-15,"The Bronx, New York, USA"
0002141,Celeste Holm,1919-04-29,"New York, New York, USA"
0002144,John Houseman,1902-09-22,"Bucharest, Romania"
0002145,Trevor Howard,1913-09-29,"Cliftonville, Kent, England, UK"
0002148,Mary Beth Hurt,1948-09-26,"Marshalltown, Iowa, USA"
0002149,Betty Hutton,1921-02-26,"Battle Creek, Michigan, USA"
0002190,Anthony Asquith,1902-11-09,"London, England, UK"
0002199,Hector Babenco,1946-02-07,"Mar del Plata, Buenos Aires, Argentina"
0002245,Tzi Ma,,
0002338,Jack Clayton,1921-03-01,"Brighton, East Sussex, England, UK"
0002436,Shannon Elizabeth,1973-09-07,"Houston, Texas, USA"
0002536,Emmy Rossum,1986-09-12,"New York, New York, USA"
0002546,Mena Suvari,1979-02-09,"Newport, Rhode Island, USA"
0003225,Ed Begley,1901-03-25,"Hartford, Connecticut, USA"
0003244,Jordi Molla,1968-07-01,"L'Hospitalet del Llobregat, Barcelona, Cataluna, Spain"
0003318,Howard Duff,1913-11-24,"Bremerton, Washington, USA"
0003418,Rob Cohen,1949-03-12,"Cornwall, New York, USA"
0003506,James Mangold,1964-01-01,"New York, New York, USA"
0003593,Fred Zinnemann,1907-04-29,"Vienna, Austria-Hungary (now Austria)"
0003817,Michael Clarke Duncan,1957-12-10,"Chicago, Illinois, USA"
0004051,Brian Cox,1946-06-01,"Dundee, Scotland, UK"
0004282,Anne Francis,1930-09-16,"Ossining, New York, USA"
0004309,Shirley Knight,1936-07-05,"Goessel, Kansas, USA"
0004376,Franka Potente,1974-07-22,"Dulmen, Germany"
0004517,Jason Alexander,1959-09-23,"Newark, New Jersey, USA"
0004647,Carroll Baker,1931-05-28,"Johnstown, Pennsylvania, USA"
0004695,Jessica Alba,1981-04-28,"Pomona, California, USA"
0004710,Naveen Andrews,1969-01-17,"London, England, UK"
0004724,Christine Baranski,1952-05-02,"Buffalo, New York, USA"
0004738,Catherine Bell,1968-08-14,"London, England, UK"
0004747,Wes Bentley,1978-09-04,"Jonesboro, Arkansas, USA"
0004755,Jason Biggs,1978-05-12,"Hasbrouck Heights, New Jersey, USA"
0004778,Adrien Brody,1973-04-14,"New York, New York, USA"
0004794,Glen Campbell,1936-04-22,"Delight, Arkansas, USA"
0004802,Linda Cardellini,1975-06-25,"Redwood City, California, USA"
0004821,Michael Chiklis,1963-08-30,"Lowell, Massachusetts, USA"
0004874,Vin Diesel,1967-07-18,"New York, New York, USA"
0004912,Oded Fehr,1970-11-23,"Tel Aviv, Israel"
0004929,Dave Foley,1963-01-04,"Toronto, Ontario, Canada"
0004937,Jamie Foxx,1967-12-13,"Terrell, Texas, USA"
0004951,Brad Garrett,1960-04-14,"Woodland Hills, California, USA"
0004988,Colin Hanks,1977-11-24,"Sacramento, California, USA"
0004989,Alyson Hannigan,1974-03-24,"Washington, District of Columbia, USA"
0004996,Steve Harris,1965-12-03,"Chicago, Illinois, USA"
0005017,Katie Holmes,1978-12-18,"Toledo, Ohio, USA"
0005069,Spike Jonze,1969-01-01,"Rockville, Maryland, USA"
0005093,Regina King,1971-01-15,"Los Angeles, California, USA"
